date;amount_sek;currency;original_amount;direction;suggested_account;category_hint;counterparty;description;notes;needs_review;source_file
2026-02-10;4581.00;SEK;4581.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02100584482 (13 kortköp, payout 4547.93);REF=B02100584482 matchar Marginalen B-rad 4547.93;NO;monthly_report_202602.xlsx
2026-02-10;-33.07;SEK;-33.07;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02100584482;;NO;monthly_report_202602.xlsx
2026-02-11;1386.00;SEK;1386.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02110607269 (6 kortköp, payout 1376.95);REF=B02110607269 matchar Marginalen B-rad 1376.95;NO;monthly_report_202602.xlsx
2026-02-11;-9.05;SEK;-9.05;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02110607269;;NO;monthly_report_202602.xlsx
2026-02-13;3038.00;SEK;3038.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02130658937 (11 kortköp, payout 3004.71);REF=B02130658937 matchar Marginalen B-rad 3004.71;NO;monthly_report_202602.xlsx
2026-02-13;-33.29;SEK;-33.29;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02130658937;;NO;monthly_report_202602.xlsx
2026-02-14;965.00;SEK;965.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02140685830 (6 kortköp, payout 958.62);REF=B02140685830 matchar Marginalen B-rad 958.62;NO;monthly_report_202602.xlsx
2026-02-14;-6.38;SEK;-6.38;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02140685830;;NO;monthly_report_202602.xlsx
2026-02-15;550.00;SEK;550.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02150711570 (1 kortköp, payout 546.42);REF=B02150711570 matchar Marginalen B-rad 546.42;NO;monthly_report_202602.xlsx
2026-02-15;-3.58;SEK;-3.58;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02150711570;;NO;monthly_report_202602.xlsx
2026-02-17;1326.00;SEK;1326.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02170746228 (5 kortköp, payout 1317.38);REF=B02170746228 matchar Marginalen B-rad 1317.38;NO;monthly_report_202602.xlsx
2026-02-17;-8.62;SEK;-8.62;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02170746228;;NO;monthly_report_202602.xlsx
2026-02-18;299.00;SEK;299.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02180770543 (1 kortköp, payout 297.06);REF=B02180770543 matchar Marginalen B-rad 297.06;NO;monthly_report_202602.xlsx
2026-02-18;-1.94;SEK;-1.94;OUT;6570;BANK_FEE;Worldline / Bambora;Worldline avgifter payout B02180770543;;NO;monthly_report_202602.xlsx
2026-02-19;2324.00;SEK;2324.00;IN;3051;SALES;G&S By Samis jackets;Worldline payout B02190795628 (5 kortköp, payout 2308.90);REF=B02190795628 matchar Marginalen B-rad 2308.90;NO;monthly_report_202602.xlsx
