"""Preliminär Verifikationslista""",,,,,
Samis Jackets AB,,,,,
559489-5301,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:20",,,,,
,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,
,,,,,
"""Verifikation""","""Datum""","""Beskrivning/Konto""","""Typ""","""Debet""","""Kredit"""
A 64,2024-11-07,utgift/kostnad (ST1),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,676.93
,,"5611 Drivmedel för personbilar, mc, m.m.",,676.93,
,,,,,
A 65,2024-11-09,max burgers,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,890.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,890.00,
,,,,,
A 66,2024-11-29,WILLYS,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1773.13
,,"6992 Övriga externa kostnader, ej avdragsgilla",,1773.13,
,,,,,
A 67,2024-11-28,utgift/kostnad (eparkera ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,64.85
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,64.85,
,,,,,
A 68,2024-11-28,(CVS CENTER ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1085.00
,,4001 Inkop av tjanst,,1085.00,
,,,,,
A 69,2024-11-04,utgift/kostnad (willys ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1726.09
,,"6992 Övriga externa kostnader, ej avdragsgilla",,1726.09,
,,,,,
A 70,2024-12-03,Bolagsverket avgift,,,
,,1930 Företagskonto,,,1400.00
,,"6991 Övriga externa kostnader, avdragsgilla",,1400.00,
,,,,,
A 71,2024-11-13,(google ads 5215017274),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,100.00
,,5910 Annonsering,,100.00,
,,,,,
A 72,2024-11-21,utgift/kostnad (google ads 5215017274),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,2000.00
,,5910 Annonsering,,2000.00,
,,,,,
A 73,2024-11-23,utgift/kostnad (google ads 5215017274),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,3500.00
,,5910 Annonsering,,3500.00,
,,,,,
A 74,2024-11-29,utgift/kostnad ( circle K),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,691.81
,,"5611 Drivmedel för personbilar, mc, m.m.",,691.81,
,,,,,
A 75,2024-11-16,Aimo Park Sweden,,,
,,2641 Debiterad ingående moms,,62.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,314.95
,,"5610 Personbils- och mc-kostnader, m.m.",,252.95,
,,,,,
A 76,2024-12-16,Aimo Park Sweden,,,
,,2641 Debiterad ingående moms,,62.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,314.95
,,"5610 Personbils- och mc-kostnader, m.m.",,252.95,
,,,,,
A 77,2024-12-21,utgift/kostnad (willys ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1937.17
,,"6992 Övriga externa kostnader, ej avdragsgilla",,1937.17,
,,,,,
A 78,2024-12-03,(okq8),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,419.52
,,"5611 Drivmedel för personbilar, mc, m.m.",,419.52,
,,,,,
A 79,2024-12-19,Aimo Park Sweden,,,
,,2641 Debiterad ingående moms,,62.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,314.95
,,"5610 Personbils- och mc-kostnader, m.m.",,252.95,
,,,,,
A 80,2024-12-06,utgift/kostnad (hotel Booking.com ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1971.52
,,5890 Övriga resekostnader,,1971.52,
,,,,,
A 81,2024-12-01,(google ads 5215017274),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,2708.96
,,5910 Annonsering,,2708.96,
,,,,,
A 82,2024-12-21,utgift/kostnad (hotel Booking.com ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,3475.58
,,5830 Kost och logi,,3475.58,
,,,,,
A 83,2024-12-17,GOOGLE Google Workspace,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,162.14
,,6540 IT-tjänster,,162.14,
,,,,,
A 84,2024-12-03,utgift/kostnad (shell e4 norr),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,159.00
,,"5611 Drivmedel för personbilar, mc, m.m.",,159.00,
,,,,,
A 85,2024-12-04,utgift/kostnad (hotel Booking.com ),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1985.03
,,5830 Kost och logi,,1985.03,
,,,,,
A 86,2024-12-04,(yesim) simkort,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,235.82
,,6212 Mobiltelefon,,235.82,
,,,,,
A 87,2024-12-05,(yesim) simkort,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,560.39
,,6212 Mobiltelefon,,560.39,
,,,,,
A 88,2024-12-03,utgift/kostnad (HMS Host Arlanda),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,171.00
,,"6992 Övriga externa kostnader, ej avdragsgilla",,171.00,
,,,,,
A 89,2024-12-30,AIMO PARK - HYRESAVI F.41986486320,,,
,,2641 Debiterad ingående moms,,371.08,
,,"2893 Skulder till närstående personer, kortfristig del",,,1484.34
,,"5610 Personbils- och mc-kostnader, m.m.",,1113.26,
,,,,,
A 90,2024-12-30,Crona kassasystem,,,
,,2641 Debiterad ingående moms,,44.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,220.00
,,"6991 Övriga externa kostnader, avdragsgilla",,176.00,
,,,,,
A 91,2024-09-26,"Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296",,,
,,2448 Ej reskontraförda leverantörsskulder,,,409265.84
,,"4545 Import av råvaror och material, 25 % moms",,409265.84,
,,2645 Beräknad ingående moms på förvärv från utlandet,,,102316.25
,,2615 Utgående moms import av varor 25%,,102316.25,
,,,,,
A 92,2024-10-16,"Invoice #906 (USD 30700 enl. vxelkurs 10,4144)",,,
,,2448 Ej reskontraförda leverantörsskulder,,,319722.08
,,"4545 Import av råvaror och material, 25 % moms",,319722.08,
,,2645 Beräknad ingående moms på förvärv från utlandet,,,79930.50
,,2615 Utgående moms import av varor 25%,,79930.50,
,,,,,
A 93,2024-11-17,shopify avgift f. 296203582,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1779.28
,,6590 Övriga externa tjänster,,1779.28,
,,,,,
A 94,2024-12-17,shopify avgift f. 307497458,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,2221.25
,,6590 Övriga externa tjänster,,2221.25,
,,,,,
A 95,2024-12-04,flygbiljett,,,
,,1941 Annat bankkonto viva.com,,,9945.82
,,5810 Biljetter,,9945.82,
,,,,,
A 96,2024-12-05,Viva bankavgift retur,,,
,,1941 Annat bankkonto viva.com,,45.83,
,,6570 Bankkostnader,,,45.83
,,,,,
A 97,2024-12-05,BANKKOSTNADER,,,
,,1941 Annat bankkonto viva.com,,,298.37
,,6570 Bankkostnader,,298.37,
,,,,,
A 98,2024-12-22,Viva bankavgift retur,,,
,,1941 Annat bankkonto viva.com,,0.81,
,,6570 Bankkostnader,,,0.81
,,,,,
A 99,2024-12-31,banktjnster avgift,,,
,,1941 Annat bankkonto viva.com,,,58.00
,,6570 Bankkostnader,,58.00,
,,,,,
A 100,2024-11-23,tiktok ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,450.00
,,5910 Annonsering,,450.00,
,,,,,
A 101,2024-11-18,Tiktok Ads*tiktok Ads Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,90.00
,,5910 Annonsering,,90.00,
,,,,,
A 102,2024-11-18,Tiktok Ads* tiktok Ads Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,90.00
,,5910 Annonsering,,90.00,
,,,,,
A 103,2024-11-18,Tiktok Ads*tiktok Ads Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,40.00
,,5910 Annonsering,,40.00,
,,,,,
A 104,2024-11-19,Tiktok Ads*tiktok Ads Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,180.00
,,5910 Annonsering,,180.00,
,,,,,
A 105,2024-11-20,Tiktok Ads*tiktok Ads Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,450.00
,,5910 Annonsering,,450.00,
,,,,,
A 106,2024-11-25,Tiktok Ads*tiktok Ads London,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,450.00
,,5910 Annonsering,,450.00,
,,,,,
A 107,2024-11-26,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,22.00
,,"2893 Skulder till närstående personer, kortfristig del",,,22.00
,,"2893 Skulder till närstående personer, kortfristig del",,,22.00
,,"2893 Skulder till närstående personer, kortfristig del",,,25.00
,,"2893 Skulder till närstående personer, kortfristig del",,,22.00
,,"2893 Skulder till närstående personer, kortfristig del",,,22.00
,,"2893 Skulder till närstående personer, kortfristig del",,,22.00
,,"2893 Skulder till närstående personer, kortfristig del",,,25.00
,,"2893 Skulder till närstående personer, kortfristig del",,,25.00
,,"2893 Skulder till närstående personer, kortfristig del",,,28.00
,,"2893 Skulder till närstående personer, kortfristig del",,,40.00
,,"2893 Skulder till närstående personer, kortfristig del",,,40.00
,,5910 Annonsering,,315.00,
,,,,,
A 108,2024-11-27,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,61.00
,,"2893 Skulder till närstående personer, kortfristig del",,,92.00
,,"2893 Skulder till närstående personer, kortfristig del",,,61.00
,,"2893 Skulder till närstående personer, kortfristig del",,,61.00
,,"2893 Skulder till närstående personer, kortfristig del",,,92.00
,,"2893 Skulder till närstående personer, kortfristig del",,,125.00
,,5910 Annonsering,,492.00,
,,,,,
A 109,2024-11-28,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,188.00
,,"2893 Skulder till närstående personer, kortfristig del",,,283.00
,,"2893 Skulder till närstående personer, kortfristig del",,,312.00
,,5910 Annonsering,,783.00,
,,,,,
A 110,2024-11-29,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,344.00
,,5910 Annonsering,,344.00,
,,,,,
A 111,2024-11-30,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,379.00
,,5910 Annonsering,,379.00,
,,,,,
A 112,2024-12-01,Tiktok Ads*tiktok Ads London,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,66.41
,,5910 Annonsering,,66.41,
,,,,,
A 113,2024-12-01,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,417.00
,,5910 Annonsering,,417.00,
,,,,,
A 114,2024-12-02,Facebook Ads /Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,459.00
,,5910 Annonsering,,459.00,
,,,,,
A 115,2024-10-08,JULA,,,
,,2641 Debiterad ingående moms,,,73.00
,,"2893 Skulder till närstående personer, kortfristig del",,,365.00
,,5460 Förbrukningsmaterial,,438.00,
,,,,,
A 116,2024-11-30,utgift/kostnad (google ads),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,7100.00
,,5910 Annonsering,,7100.00,
,,,,,
A 117,2024-10-10,patent och regverket,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,2400.00
,,"6991 Övriga externa kostnader, avdragsgilla",,2400.00,
,,,,,
A 118,2024-12-03,meta facebook ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,505.00
,,5910 Annonsering,,505.00,
,,,,,
A 119,2024-12-04,meta facebook ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,556.00
,,5910 Annonsering,,556.00,
,,,,,
A 120,2024-12-08,meta facebook ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,556.63
,,5910 Annonsering,,556.63,
,,,,,
