"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"womens-pajamas-stock-mz-01-BLA-3XL","MZ Women's Pajamas Stock MZ-01 (168 pcs) - Black / 3XL *KAMPANJ*",1.000,143.20,35.80,179.00,0.00,143.20,1.00000000000000000000
"womens-pajamas-stock-mz-01-BLA-L","MZ Women's Pajamas Stock MZ-01 (168 pcs) - Black / L *KAMPANJ*",2.000,286.40,71.60,358.00,0.00,286.40,1.00000000000000000000
"womens-pajamas-stock-mz-01-GRE-L","MZ Women's Pajamas Stock MZ-01 (168 pcs) - Grey / L *KAMPANJ*",1.000,143.20,35.80,179.00,0.00,143.20,1.00000000000000000000
"womens-pajamas-stock-mz-01-WHI-L","MZ Women's Pajamas Stock MZ-01 (168 pcs) - White / L *KAMPANJ*",1.000,143.20,35.80,179.00,0.00,143.20,1.00000000000000000000
"womens-pe343-BLU-M","ISMASH Glam Duo PE343 - Lady's 2pcs Set - Blue / M *KAMPANJ*",1.000,559.20,139.80,699.00,0.00,559.20,1.00000000000000000000
"womens-premium-socks-comfort-style-BLA-3XL","Women's Premium Socks - Comfort & Style - Black / 3XL *KAMPANJ*",16.000,115.20,28.80,144.00,0.00,115.20,1.00000000000000000000
"womens-premium-socks-comfort-style-BLA-L","Women's Premium Socks - Comfort & Style - Black / L *KAMPANJ*",45.000,324.00,81.00,405.00,0.00,324.00,1.00000000000000000000
"womens-premium-socks-comfort-style-BLA-M","Women's Premium Socks - Comfort & Style - Black / M *KAMPANJ*",28.000,201.60,50.40,252.00,0.00,201.60,1.00000000000000000000
"womens-premium-socks-comfort-style-BLA-XL","Women's Premium Socks - Comfort & Style - Black / XL *KAMPANJ*",31.000,223.20,55.80,279.00,0.00,223.20,1.00000000000000000000
"womens-premium-socks-comfort-style-BLA-XXL","Women's Premium Socks - Comfort & Style - Black / XXL *KAMPANJ*",10.000,72.00,18.00,90.00,0.00,72.00,1.00000000000000000000
"XF10-B-US","XF10 Sweater Women’s - Black / Universal Size *KAMPANJ*",3.000,429.60,107.40,537.00,299.00,130.60,0.30400372439478584730
"XF10-G-US","XF10 Sweater Women’s - Gray / Universal Size *KAMPANJ*",2.000,286.40,71.60,358.00,149.50,136.90,0.47800279329608938547
"XF10-O-US","XF10 Sweater Women’s - Orange / Universal Size *KAMPANJ*",2.000,286.40,71.60,358.00,0.00,286.40,1.00000000000000000000
"XF10-P-US","XF10 Sweater Women’s - Purple / Universal Size *KAMPANJ*",3.000,429.60,107.40,537.00,0.00,429.60,1.00000000000000000000
"XG009-KHAKI_RED-40","CHW XG009 Women’s Sneakers - KHAKI/RED / 40 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"ZQ77-WHITE-43","CH ZQ77 Men’s Sneakers - WHITE / 43 *KAMPANJ*",1.000,143.20,35.80,179.00,149.50,-6.30,-0.04399441340782122905
